tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-0.220969,1.006367,-115.0000,-35.1111
0,6,-0.139623,0.917242,-115.0000,-62.1886
0,7,-0.097218,1.017369,-115.0000,-99.4200
0,18,-0.424327,1.135516,25.0206,70.2557
0,19,-0.371836,1.045041,32.6742,87.7541
0,20,-0.281422,0.979545,37.3960,104.6043
0,21,-0.249252,0.979545,44.9935,110.0950
0,22,-0.196808,0.921798,55.2653,110.0950
1,5,0.564430,1.791765,-115.0000,-35.1111
1,6,0.653554,1.710419,-115.0000,-62.1886
1,7,0.641981,1.756567,-115.0000,-99.4200
1,18,0.435283,1.995128,25.0206,70.2557
1,19,0.525762,1.942636,32.6741,87.7541
1,20,0.591248,1.690911,37.3960,93.9771
1,21,0.596497,1.677677,44.9935,110.0950
1,22,0.605119,1.657761,55.2653,110.0950
2,5,1.349827,2.577163,-115.0000,-35.1111
2,6,1.431173,2.488038,-115.0000,-62.1886
2,7,1.381178,2.495765,-115.0000,-99.4200
2,18,1.146469,2.706313,25.0206,70.2557
2,19,1.198960,2.672658,32.6741,87.7541
2,20,1.294628,2.550350,37.3960,104.6043
2,21,1.469155,2.545100,44.9935,110.0950
2,22,1.483835,2.492595,55.2653,110.0950
3,5,-2.926514,2.952823,-115.0000,-35.1111
3,6,-3.004367,3.011638,-115.0000,-62.1886
3,7,-3.049303,3.054011,-115.0000,-99.4200
3,18,-3.076686,3.096746,25.0206,70.2557
3,19,-3.096740,3.102276,32.6742,87.7541
3,20,-3.096740,3.103690,37.3960,93.9771
3,21,-3.100050,3.108767,44.9935,110.0950
3,22,-3.100050,3.108767,55.2653,110.0950
4,5,-2.952823,2.926514,-115.0000,-35.1111
4,6,-3.011638,3.004367,-115.0000,-65.1277
4,7,-3.054011,3.049303,-115.0000,-99.4200
4,18,-3.096740,3.076473,25.0206,70.2557
4,19,-3.102281,3.096746,32.6742,87.7541
4,20,-3.103684,3.092925,37.3960,93.9771
4,21,-3.108762,3.100056,44.9936,110.0950
4,22,-3.108762,3.100056,55.2653,110.0950
5,5,-2.577163,-1.349827,-115.0000,-35.1111
5,6,-2.488038,-1.431173,-115.0000,-62.1886
5,7,-2.495765,-1.381178,-115.0000,-99.4200
5,18,-2.706309,-1.146464,25.0206,70.2557
5,19,-2.615830,-1.198956,32.6741,87.7541
5,20,-2.550345,-1.294623,37.3960,93.9771
5,21,-2.545096,-1.469163,44.9935,110.0950
5,22,-2.492589,-1.483831,55.2653,110.0950
6,5,-1.791765,-0.564430,-115.0000,-35.1111
6,6,-1.710419,-0.653554,-115.0000,-62.1886
6,7,-1.756567,-0.641981,-115.0000,-99.4200
6,18,-1.995124,-0.435280,25.0206,70.2557
6,19,-1.942632,-0.525760,32.6741,87.7541
6,20,-1.846965,-0.591243,37.3960,93.9771
6,21,-1.820049,-0.596492,44.9935,110.0950
6,22,-1.657758,-0.648998,52.1487,110.0950
7,5,-1.006367,0.220969,-115.0000,-35.1111
7,6,-0.917242,0.139623,-115.0000,-62.1886
7,7,-1.017369,0.097218,-115.0000,-99.4200
7,18,-1.135513,0.424332,25.0206,70.2557
7,19,-1.045034,0.353113,32.6742,87.7541
7,20,-0.979554,0.281415,37.3960,93.9771
7,21,-0.974307,0.249256,44.9935,110.0950
7,22,-0.921792,0.196815,55.2653,110.0950
8,5,-0.220969,1.006367,-57.1505,-6.0842
8,6,-0.139623,0.917242,-83.2020,-19.7419
8,7,-0.097218,1.017369,-112.2710,-35.4452
8,8,-0.068125,0.853524,-116.9460,-48.8934
8,9,-0.052384,0.863118,-116.9460,-58.1625
8,10,-0.042940,0.869675,-116.9460,-68.3777
8,18,-0.075978,0.921798,60.2304,110.0950
8,19,-0.068078,0.909651,67.2072,110.0950
8,20,-0.054492,0.875105,83.9404,110.0950
8,21,-0.045708,0.831112,94.5648,110.0950
9,5,0.564430,1.791765,-57.1505,-6.0842
9,6,0.653554,1.710419,-83.2020,-19.7419
9,7,0.641981,1.756567,-112.2710,-35.4452
9,8,0.717273,1.638922,-116.9460,-48.8934
9,9,0.758350,1.673851,-116.9460,-58.1625
9,10,0.701913,1.612945,-116.9460,-68.3777
9,18,0.649004,1.646781,60.2304,110.0950
9,19,0.684707,1.638880,67.2072,110.0950
9,20,0.684707,1.625293,83.9403,110.0950
9,21,0.739690,1.616510,94.5648,110.0950
10,5,1.349827,2.577163,-57.1505,-6.0842
10,6,1.431173,2.488038,-83.2020,-19.7419
10,7,1.381178,2.495765,-112.2710,-35.4452
10,8,1.502671,2.424320,-116.9460,-48.8934
10,9,1.468914,2.382071,-116.9460,-58.1625
10,10,1.528647,2.439680,-116.9460,-68.3777
10,18,1.494818,2.492595,60.2304,110.0950
10,19,1.502718,2.456891,67.2072,110.0950
10,20,1.516305,2.456891,83.9403,110.0950
10,21,1.446548,2.401908,94.5648,110.0950
11,5,-2.926514,2.952823,-57.1505,-6.0842
11,6,-3.004367,3.011638,-83.2020,-19.7419
11,7,-3.049303,3.054011,-112.2710,-35.4452
11,8,-3.074075,3.076849,-116.9460,-48.8934
11,9,-3.090725,3.092636,-116.9460,-58.1625
11,10,-3.098895,3.101068,-116.9460,-68.3777
11,18,-3.100050,3.108767,60.2304,110.0950
11,19,-3.100050,3.108767,67.2072,110.0950
11,20,-3.100050,3.108767,83.9403,110.0950
11,21,-3.100050,3.108767,94.5649,110.0950
12,5,-2.952823,2.926514,-57.1505,-6.0842
12,6,-3.011638,3.004367,-83.2020,-19.7419
12,7,-3.054011,3.049303,-112.2710,-35.4452
12,8,-3.076849,3.074075,-116.9460,-48.8934
12,9,-3.092636,3.090725,-116.9460,-58.1625
12,10,-3.101068,3.098895,-116.9460,-68.3777
12,18,-3.108762,3.100056,60.2304,110.0950
12,19,-3.108762,3.100056,67.2072,110.0950
12,20,-3.108762,3.100056,83.9403,110.0950
12,21,-3.108762,3.100056,94.5648,110.0950
13,5,-2.577163,-1.349827,-57.1505,-6.0842
13,6,-2.488038,-1.431173,-83.2020,-19.7419
13,7,-2.495765,-1.381178,-112.2710,-35.4452
13,8,-2.424320,-1.502671,-116.9460,-48.8934
13,9,-2.382071,-1.468914,-116.9460,-58.1625
13,10,-2.439680,-1.528647,-116.9460,-68.3777
13,18,-2.492589,-1.494812,60.2304,110.0950
13,19,-2.456885,-1.502712,67.2072,110.0950
13,20,-2.456885,-1.446543,83.9403,110.0950
13,21,-2.401903,-1.446543,94.5648,110.0950
14,5,-1.791765,-0.564430,-57.1505,-6.0842
14,6,-1.710419,-0.653554,-83.2020,-19.7419
14,7,-1.756567,-0.641981,-112.2710,-35.4452
14,8,-1.638922,-0.717273,-116.9460,-48.8934
14,9,-1.673851,-0.758350,-116.9460,-58.1625
14,10,-1.612945,-0.701913,-116.9460,-68.3777
14,18,-1.646775,-0.648998,60.2304,110.0950
14,19,-1.695044,-0.684701,67.2072,110.0950
14,20,-1.625288,-0.684701,83.9403,110.0950
14,21,-1.616504,-0.739684,94.5648,110.0950
15,5,-1.006367,0.220969,-57.1505,-6.0842
15,6,-0.917242,0.139623,-83.2020,-19.7419
15,7,-1.017369,0.097218,-112.2710,-35.4452
15,8,-0.853524,0.068125,-116.9460,-48.8934
15,9,-0.863118,0.052384,-116.9460,-58.1625
15,10,-0.869675,0.042940,-116.9460,-68.3777
15,18,-0.921792,0.075985,60.2304,110.0950
15,19,-0.886090,0.068084,67.2072,110.0950
15,20,-0.909647,0.054497,83.9403,110.0950
15,21,-0.831106,0.045714,94.5649,110.0950
16,5,-0.220969,1.006367,-26.9838,10.7056
16,6,-0.139623,0.917242,-36.7083,6.7748
16,7,-0.097218,1.017369,-44.8668,3.8057
16,8,-0.068125,0.853524,-58.9434,10.4742
16,9,-0.052384,0.863118,-87.4714,10.4742
16,10,-0.042940,0.869675,-106.5820,20.3042
17,5,0.564430,1.791765,-26.9838,10.7056
17,6,0.653554,1.710419,-36.7083,6.7748
17,7,0.641981,1.756567,-44.8668,3.8057
17,8,0.717273,1.638922,-58.9434,10.4742
17,9,0.758350,1.673851,-87.4714,10.4742
17,10,0.701913,1.612945,-106.5820,20.3042
18,5,1.349827,2.577163,-26.9838,10.7056
18,6,1.431173,2.488038,-36.7083,6.7748
18,7,1.381178,2.495765,-44.8668,3.8057
18,8,1.502671,2.424320,-58.9434,10.4742
18,9,1.468914,2.382071,-87.4714,10.4742
18,10,1.528647,2.439680,-106.5820,20.3042
19,5,-2.926514,2.952823,-31.7932,10.7056
19,6,-3.004367,3.011638,-36.7083,6.7748
19,7,-3.049303,3.054011,-44.8668,3.8057
19,8,-3.074075,3.076849,-58.9434,10.4742
19,9,-3.090725,3.092636,-87.4714,10.4742
19,10,-3.098895,3.101068,-106.5820,20.3042
20,5,-2.952823,2.926514,-26.9838,10.7056
20,6,-3.011638,3.004367,-36.7083,6.7748
20,7,-3.054011,3.049303,-44.8668,3.8057
20,8,-3.076849,3.074075,-58.9434,10.4742
20,9,-3.092636,3.090725,-87.4714,10.4742
20,10,-3.101068,3.098895,-106.5820,20.3042
21,5,-2.577163,-1.349827,-31.7932,10.7056
21,6,-2.488038,-1.431173,-36.7083,6.7748
21,7,-2.495765,-1.381178,-44.8668,3.8057
21,8,-2.424320,-1.502671,-58.9434,10.4742
21,9,-2.382071,-1.468914,-87.4714,10.4742
21,10,-2.439680,-1.528647,-106.5820,20.3042
22,5,-1.791765,-0.564430,-31.7932,10.7056
22,6,-1.710419,-0.653554,-36.7083,6.7748
22,7,-1.756567,-0.641981,-44.8668,3.8057
22,8,-1.638922,-0.717273,-58.9434,10.4742
22,9,-1.673851,-0.758350,-87.4714,10.4742
22,10,-1.612945,-0.701913,-97.7617,20.3042
23,5,-1.006367,0.220969,-26.9838,10.7056
23,6,-0.917242,0.139623,-36.7083,6.7748
23,7,-1.017369,0.097218,-44.8668,3.8057
23,8,-0.853524,0.068125,-58.9434,10.4742
23,9,-0.863118,0.052384,-87.4714,10.4742
23,10,-0.869675,0.042940,-106.5820,20.3042
24,5,-0.220969,1.006367,-10.7102,26.9799
24,6,-0.139623,0.917242,-6.7797,36.7048
24,7,-0.097218,1.017369,-5.2542,42.9310
24,8,-0.068125,0.853524,-9.5318,59.4103
24,9,-0.052384,0.863118,-9.5318,78.7372
24,10,-0.042940,0.869675,-19.5186,108.2460
25,5,0.564430,1.791765,-10.7102,31.7894
25,6,0.653554,1.710419,-6.7797,36.7048
25,7,0.641981,1.756567,-5.2542,47.7511
25,8,0.717273,1.638922,-9.5318,59.4103
25,9,0.758350,1.673851,-9.5318,78.7372
25,10,0.701913,1.612945,-19.5186,97.9149
26,5,1.349827,2.577163,-10.7102,26.9799
26,6,1.431173,2.488038,-6.7797,36.7048
26,7,1.381178,2.495765,-5.2542,42.9310
26,8,1.502671,2.424320,-9.5318,59.4103
26,9,1.468914,2.382071,-9.5318,78.7372
26,10,1.528647,2.439680,-19.5186,97.9149
27,5,-2.926514,2.952823,-10.7102,31.7894
27,6,-3.004367,3.011638,-6.7797,36.7048
27,7,-3.049303,3.054011,-5.2542,47.7511
27,8,-3.074075,3.076849,-9.5318,59.4103
27,9,-3.090725,3.092636,-9.5318,78.7372
27,10,-3.098895,3.101068,-19.5186,108.2460
