#PT eta phi vx vy vz charge
3.02622 0.203853 -0.641815 -0.00217643 0.000335852 -14.4974 1
2.04613 -0.771726 -0.820248 -0.002657 -0.000403155 11.2655 -1
3.75227 -0.925878 -0.95228 0.000171925 -0.000876866 13.7455 1
2.3114 0.197538 -0.752089 0.00143421 -0.000575754 -11.7565 1
13.7747 -0.017494 -0.827334 0.000360557 -0.000237996 -10.0076 -1
5.57538 0.132674 -0.818636 -0.00319092 0.00104298 -10.6184 -1
3.68243 0.0367124 -0.93811 0.000220268 0.000625786 -10.7196 -1
4.03247 0.0371169 -0.666327 -0.00152567 0.000280092 -10.5735 1
2.3046 -0.725187 -0.91037 -0.000777073 0.00104542 10.2212 -1
2.02522 0.0660009 -0.915523 0.000523258 -0.00050292 -10.5435 -1
2.33415 -0.809102 -0.658234 0.00297342 -3.59753e-05 10.1155 1
2.04083 -0.786275 -0.975597 -0.00296795 -0.000213696 10.6726 -1
3.72164 -0.785927 -0.736415 0.0012905 0.000501329 10.41 -1
4.10501 -0.00353851 -0.685834 0.000290017 0.000387516 -10.4127 -1
8.44239 0.129032 -0.813762 0.00124061 -0.000422141 -10.2782 -1
2.46248 -0.88356 -0.897313 -0.000668418 0.00149689 12.1322 1
2.12903 0.156252 -0.851548 0.0014968 -0.000582892 -10.8704 -1
2.57801 0.253806 -0.7078 0.00085508 0.00176123 -14.0236 1
22.5337 0.106643 -0.749204 0.0010106 -7.19071e-05 -12.8414 1
77.3091 0.204531 -0.860688 0.000487023 0.000846723 -12.3242 -1
3.10772 0.135526 -0.999501 -0.00242791 -5.58631e-05 -10.9459 -1
2.50411 0.152631 -0.576805 -1.46493e-05 -0.000100908 -11.8502 1
3.08743 -0.925287 -0.786449 0.00105232 -0.000790166 13.7002 -1
13.5698 0.0582433 -0.652395 -0.00342379 -4.43081e-05 -10.9282 -1
3.41045 0.0397096 -0.614905 -0.00189198 4.66658e-05 -10.3586 1
8.27947 0.219502 -0.690298 0.000433371 0.000266672 -12.4317 -1
10.8562 0.0377589 -0.930472 -0.000148677 -0.000873395 -10.8547 1
7.22464 0.125525 -0.782564 -0.00238653 0.000712916 -10.8928 -1
38.8883 -0.78736 -0.782255 -0.00021331 -0.00162112 10.8028 -1
2.06377 0.110286 -0.825333 -0.0003082 0.000173178 -10.7756 -1
401.65 0.191283 -0.865873 0.00119036 0.000693261 -11.2412 -1
2.13757 0.111436 -0.663195 0.00115811 0.000206048 -10.349 -1
2.33668 0.225828 -0.870709 -0.000748399 0.00103144 -12.5699 -1
2.65452 -0.743526 -0.967476 0.000762224 -0.000199363 11.2579 -1
2.98562 -0.775747 -1.00121 0.00204645 0.000245992 10.0955 -1
21.5372 -0.80051 -0.799692 -0.00034346 -0.000844478 10.4657 1
5.24127 0.187257 -0.583496 -0.00187155 -0.0014846 -12.1541 1
3.01592 -0.8737 -0.731561 -0.000154295 0.000743839 12.9011 1
2.77468 -0.882491 -0.784781 -0.00196331 -4.80844e-05 12.818 1
2.96503 0.192846 -0.823229 0.00145951 -0.000250694 -12.5239 1
6.45448 0.207419 -0.676732 0.00182629 0.000450168 -11.4598 -1
9.62285 0.0744072 -0.835748 -0.000303561 6.28541e-05 -10.3164 1
2.29886 -0.84393 -0.724942 -0.00160647 0.000546 12.0827 1
2.37177 -0.902834 -0.869893 0.000782443 0.000248403 14.2779 -1
15.8305 0.108676 -0.737318 -0.00211125 -9.46129e-05 -10.2622 -1
3.2764 0.0616064 -0.702018 -6.5552e-05 -0.000557242 -11.3537 -1
9.21044 0.0737114 -0.707303 -0.00232087 -0.000235372 -10.3628 1
9.65215 -0.810297 -0.968188 -0.00227262 -0.000167172 11.8572 -1
7.52174 0.191528 -0.87766 0.00154479 -0.000881226 -12.9395 -1
2.24628 0.0528986 -0.951962 -0.00195287 0.00102787 -10.8039 -1
6.09164 0.192955 -0.93778 7.56852e-06 5.37611e-05 -12.2283 -1
4.39268 0.071767 -0.658073 -0.00309076 -0.000475246 -10.5717 -1
42.4776 0.119628 -0.607628 0.000174057 -0.000728844 -10.0751 -1
7.44214 -0.754421 -0.915298 -0.00238921 0.00119823 11.4151 -1
4.75257 0.206029 -0.620597 0.000295918 -0.000532206 -11.4187 1
2.61274 0.107625 -0.826277 -0.00120824 0.000247874 -11.0312 1
22.4877 -0.741976 -0.791104 0.00246597 0.000516374 11.2298 1
19.9542 0.244682 -0.971785 -0.00148918 6.65117e-05 -12.5351 -1
2.78666 0.135354 -0.725771 -0.000818481 -0.000131992 -10.8018 -1
4.51042 -0.822666 -0.763955 0.000480486 -0.000102616 12.0285 -1
2.2615 0.202899 -1.01219 -0.000789215 -0.000374273 -12.7041 -1
4.94464 -0.882474 -0.806171 0.00270042 -0.000492994 11.3508 -1
2.62056 0.0313414 -0.831805 0.000800084 -0.00103732 -10.5472 -1
2.09135 0.118305 -0.702703 -0.00224633 -0.000541847 -10.4828 -1
2.27049 -0.75763 -0.919041 -0.00343567 -0.000668661 10.9225 -1
2.12237 0.298004 -0.865231 -0.00285514 -3.88414e-05 -14.6676 -1
6.73216 0.155011 -0.790269 -0.00294897 -0.000384418 -10.8672 -1
2.11048 0.0488997 -0.804397 0.000299597 0.00031322 -10.7658 1
35.1863 -0.81979 -0.758463 0.00263214 -2.6245e-05 10.7165 -1
3.86777 0.109761 -0.773995 0.0019239 -0.00019852 -12.5683 1
2.03292 0.137774 -0.687233 0.000681316 0.00020409 -10.6486 1
5.70953 -0.799765 -0.953014 -0.000496283 -0.000272762 10.0517 1
55.9675 -0.775612 -0.870654 3.82192e-06 -0.000758521 10.5675 1
2.09261 -0.00538359 -0.692075 -0.00244142 8.29382e-05 -10.0698 -1
55.4725 0.0684963 -0.873168 0.00184169 0.000616447 -11.2083 -1
2.07474 -0.834349 -0.732683 -0.000662173 -0.00120739 11.4482 -1
23.0437 -0.735453 -0.672633 0.000928273 0.00107003 10.2154 -1
15.4152 -0.851292 -0.856659 -0.000593148 -0.000219716 12.2152 -1
8.07025 -0.809957 -0.799145 -0.0008859 -0.000888782 11.8546 1
2.73892 -0.717031 -0.761335 0.00377067 0.000122834 10.312 -1
2.10101 -0.805075 -0.637965 0.00137187 -0.000754911 10.031 1
4.27769 -0.796535 -0.859054 -6.23116e-06 0.000457179 10.7256 -1
2.98005 -0.829933 -0.707269 -0.000433073 -4.93401e-05 10.2548 1
7.94924 0.111244 -0.759747 -0.00407335 0.000624216 -11.4369 -1
2.80633 -0.768041 -0.718216 0.000866896 -0.00147833 11.3437 1
10.7476 -0.900875 -0.803798 0.0020984 -0.00022329 14.164 -1
7.53502 0.0890571 -0.770459 -0.000496965 0.000949662 -11.0081 -1
3.25729 -0.776967 -0.605686 0.00300641 0.000379627 11.8521 1
2.82796 0.143838 -0.868065 -0.00215447 0.000302349 -10.0201 -1
8.41511 -0.707646 -0.863231 -0.00131446 0.000459497 10.3574 1
10.8489 0.0294949 -0.891753 -0.00343239 0.000141975 -11.0282 -1
2.27744 0.0707013 -0.588015 -7.30689e-05 8.15153e-05 -12.0791 1
2.17833 -0.753752 -0.875845 -0.000319105 0.000364203 10.7375 1
3.86914 0.0777031 -0.860215 -0.00206507 -0.00147035 -11.2542 1
2.84897 -0.748901 -0.736373 0.00183 -0.000966055 11.1678 1
4.38818 -0.726636 -1.00131 0.00115606 -0.000748823 10.9084 -1
10.608 0.112527 -0.856144 0.00237717 0.000493884 -10.5268 1
2.41227 0.135845 -0.911583 -0.0022895 -0.000732138 -10.8426 -1
2.81108 0.0594609 -0.92904 -0.00107409 0.000566512 -10.1428 -1
9.59063 0.232096 -0.972286 0.000146562 -0.000430952 -12.8419 -1
2.62179 0.228547 -0.692607 0.000154735 0.00139387 -12.4525 1
6.74008 -0.76973 -0.869888 -9.56007e-05 -0.000246897 10.8322 1
2.13879 -0.764953 -0.664995 0.000854686 -0.000369906 11.8706 -1
4.66035 0.152867 -0.991266 0.00246549 -0.000722729 -10.2309 -1
6.81185 0.319794 -0.909224 -0.000889076 -0.000399914 -14.1405 1
4.06303 -0.833898 -0.646545 -0.00154978 -0.000583465 11.9161 1
3.54826 -0.860517 -0.621022 -0.00287636 0.000493849 11.2229 -1
4.87474 0.0322898 -0.680923 0.00153182 0.000910153 -11.3455 1
9.98472 -0.775968 -0.715411 0.00333556 0.000164534 11.5561 -1
3.45867 0.0877991 -0.767459 0.0014914 -0.000460583 -11.986 -1
5.81461 0.210893 -0.744725 -0.00344096 -0.00059617 -12.2658 -1
2.68908 -0.756474 -0.596078 0.00342702 0.000927629 11.8273 1
4.04649 0.135389 -0.794349 0.00167148 -0.000167502 -10.2719 1
7.39174 0.00943279 -0.634919 -0.00164482 -0.000513767 -10.6378 1
4.38449 -0.718493 -0.633184 -0.000448923 0.00103159 10.8852 -1
16.9893 0.17627 -0.822093 -0.000440274 -0.00124194 -12.7752 1
4.18096 0.0990907 -0.739866 -0.000798223 -5.55737e-05 -10.3621 -1
2.33221 -0.827705 -1.03991 0.00205142 -0.000496028 11.1736 -1
20.4947 -0.725821 -0.965102 0.000725736 0.000427514 10.8004 -1
3.77642 -0.815119 -0.943997 0.00315312 9.61432e-05 10.0241 -1
2.3595 -0.737312 -0.680223 0.000457267 -0.000282967 10.1973 -1
4.27889 0.153825 -0.573963 0.000215966 0.000800528 -10.404 1
2.56381 0.0114492 -0.794532 0.00379453 0.000773631 -10.3657 -1
4.03636 -0.9456 -0.78742 0.00179946 0.000979576 14.4651 1
3.12004 -0.831154 -0.594949 -0.00175393 -0.00091851 11.0248 1
2.09423 0.0817689 -0.869896 0.000285711 0.000475231 -10.9078 -1
15.6827 -0.814214 -0.867428 0.000735145 -0.00014038 10.6145 1
2.93627 0.0653692 -0.804264 4.98224e-05 0.00107212 -11.757 1
2.28715 -0.734076 -0.876826 -0.000479004 -0.00119146 10.0422 1
2.3796 -0.790982 -0.683551 0.000559652 0.000713256 10.0157 -1
2.08858 0.194621 -0.937456 -0.00152345 0.00200152 -13.5299 -1
4.113 -0.835812 -0.752871 -0.00133093 -0.000285138 10.3064 1
7.2874 0.144207 -0.955012 0.00126218 0.000243119 -12.4446 1
4.07489 -0.87356 -0.987671 0.00342762 0.000165567 12.169 -1
2.27978 0.119454 -0.671144 -0.000545785 -3.3847e-05 -10.0449 1
2.12903 0.270959 -0.838163 -0.00121624 0.000632884 -13.0903 1
2.07703 0.173469 -0.529198 0.0017298 -0.000883999 -11.836 1
2.21477 -0.839299 -0.711476 0.00140109 0.000803266 10.0908 1
45.073 -0.0260539 -0.955333 -0.00113069 -0.000131836 -10.0782 1
2.05043 0.18374 -0.751163 -0.00190457 0.000947793 -11.9866 -1
4.47805 0.154727 -0.63892 0.00023737 -0.00102072 -11.1251 -1
12.8695 0.123314 -0.93001 -0.000148039 -0.000600664 -10.4514 1
5.3392 -0.753545 -0.637102 -0.00110562 -0.00014971 10.026 -1
9.55029 -0.759616 -0.779146 0.000782463 0.000312766 11.1218 -1
2.00455 0.0103048 -0.741867 -0.00116459 -0.000383789 -10.1122 -1
2.68769 0.153647 -0.618245 -0.00347683 0.000851773 -10.3108 1
5.18666 0.0304276 -0.716506 -0.00261456 -0.00076395 -11.0278 1
2.7777 -0.829503 -0.921655 0.00316908 0.000221946 10.8338 1
3.49983 -0.819256 -0.808081 -9.33705e-05 -0.000888331 10.22 1
2.80287 -0.816848 -0.794465 0.000601317 0.000973244 12.0711 -1
5.69851 0.23096 -0.581802 0.00099927 -0.000163071 -13.7343 1
3.06187 -0.707875 -0.692165 -0.000924347 -0.000866529 10.241 1
3.79201 -0.789918 -0.810932 0.00202444 -0.000664654 11.4223 1
4.16183 -0.821785 -0.924167 -0.00030336 8.85432e-05 12.015 1
4.18227 0.137899 -0.928584 -0.00301562 0.000582775 -11.0154 -1
9.77915 -0.854539 -0.938728 0.000281266 -8.37044e-05 12.7026 1
2.55076 -0.881583 -0.93775 -0.00111641 0.00135076 12.0438 1
2.08741 -0.841001 -0.995338 7.61013e-05 -0.000480981 10.347 -1
10.5578 -0.855622 -0.952955 0.00117164 0.000151271 11.9318 1
6.77733 -0.817651 -0.906067 0.00238505 0.000621343 12.8001 1
4.52579 -0.863576 -0.982352 0.00174226 0.000630927 12.0049 -1
4.11028 -0.823359 -0.758236 0.00139474 0.000227633 12.5462 -1
3.41624 0.00986652 -0.72923 -0.00200753 0.000980133 -10.4245 1
8.54395 0.0678025 -0.718672 0.000596021 -0.000362349 -10.2926 -1
3.32614 0.108854 -0.774278 -0.000542455 -0.000275312 -10.3661 1
4.76862 0.0287951 -0.6945 -0.00284661 0.00032844 -10.2029 1
4.92911 -0.811234 -0.773033 0.000991357 -0.000163402 10.0844 -1
9.99095 0.130581 -0.742101 -0.00159624 -0.0012833 -12.8316 1
5.82 -0.832094 -0.644898 0.00185207 -0.000136112 11.6073 1
2.08346 0.10136 -1.01837 -0.00316667 -0.000456875 -12.2928 -1
2.35704 -0.890525 -0.709103 -0.00250982 0.000276533 12.0383 1
4.24759 0.0377947 -0.741147 0.000438065 8.86335e-05 -10.1995 1
