#PT eta phi vx vy vz charge
11.9154 1.52602 1.02424 -0.00189812 0.000748482 7.6289 -1
5.64911 1.52836 1.09459 0.00243845 0.000898805 8.18019 1
3.36535 1.56436 0.737823 0.000392973 -0.000384332 2.28064 -1
24.0085 1.9418 1.50792 -0.00295424 0.000112724 -0.78975 -1
15.2558 1.59673 1.3682 -0.000406298 -6.30497e-05 -1.92431 1
53.4294 1.56473 1.50069 0.000991874 -0.000118518 4.9684 -1
15.3111 1.56835 1.49139 0.00183898 -0.000429331 2.27566 1
68.4932 1.93755 1.49196 0.00102953 0.000155746 1.89255 1
29.339 1.94009 1.19215 -0.000934958 0.000306525 1.19355 1
3.56165 2.11471 1.33271 4.70787e-05 -0.000218123 -3.03298 -1
