tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-1.791765,-0.564430,-115.0000,-35.1111
0,6,-1.710419,-0.653554,-115.0000,-62.1886
0,7,-1.756567,-0.641981,-115.0000,-94.1209
0,18,2.769757,-1.178097,25.0206,70.2557
0,19,2.769757,-1.178097,32.6742,87.7541
0,20,2.984555,-1.178097,37.3960,93.9771
0,21,2.938804,-1.178097,44.9935,110.0950
0,22,2.938804,-1.178097,55.2653,110.0950
1,5,-1.006367,0.220969,-115.0000,-35.1111
1,6,-0.917242,0.139623,-115.0000,-62.1886
1,7,-0.836416,0.097218,-115.0000,-94.1209
1,18,-2.706309,-0.392699,25.0206,70.2557
1,19,-2.615830,-0.392699,32.6741,87.7541
1,20,-2.597103,-0.392699,37.3960,93.9771
1,21,-2.558983,-0.392699,44.9935,110.0950
1,22,-2.558983,-0.392699,55.2653,110.0950
2,5,-0.220969,1.006367,-115.0000,-35.1111
2,6,-0.139623,0.917242,-115.0000,-62.1886
2,7,-0.097218,0.836416,-115.0000,-94.1209
2,18,-1.942632,0.392699,25.0206,70.2557
2,19,-1.942632,0.392699,32.6741,87.7541
2,20,-1.727834,0.392699,37.3960,93.9771
2,21,-1.773585,0.392699,44.9935,110.0950
2,22,-1.773585,0.392699,55.2653,110.0950
3,5,0.564430,1.791765,-115.0000,-35.1111
3,6,0.653554,1.710419,-115.0000,-62.1886
3,7,0.641981,1.756567,-115.0000,-94.1209
3,18,-1.135513,1.178097,25.0206,70.2557
3,19,-1.045034,1.178097,32.6742,87.7541
3,20,-0.979554,1.178097,37.3960,93.9771
3,21,-0.988187,1.178097,44.9935,110.0950
3,22,-0.988187,1.178097,55.2653,110.0950
4,5,1.349827,2.577163,-115.0000,-35.1111
4,6,1.431173,2.488038,-115.0000,-62.1886
4,7,1.381178,2.495765,-115.0000,-94.1209
4,18,-0.371836,1.963495,25.0206,70.2557
4,19,-0.371836,1.963495,32.6742,87.7541
4,20,-0.157038,1.963495,37.3960,93.9771
4,21,-0.202788,1.963495,44.9935,110.0950
4,22,-0.202788,1.963495,55.2653,110.0950
5,5,2.135226,-2.920624,-115.0000,-35.1111
5,6,2.224351,-3.001970,-115.0000,-62.1886
5,7,2.309022,-3.048221,-115.0000,-94.1209
5,18,0.435283,2.748894,25.0206,70.2557
5,19,0.525762,2.748894,32.6741,87.7541
5,20,0.544490,2.748894,37.3960,93.9771
5,21,0.582610,2.748894,44.9935,110.0950
5,22,0.582610,2.748894,55.2653,110.0950
6,5,2.920624,-2.135226,-115.0000,-35.1111
6,6,3.001970,-2.224351,-115.0000,-62.1886
6,7,3.048221,-2.309022,-115.0000,-94.1209
6,18,1.198960,-2.748894,25.0206,70.2557
6,19,1.198960,-2.748894,32.6741,87.7541
6,20,1.413758,-2.748894,37.3960,93.9771
6,21,1.368008,-2.748894,44.9935,110.0950
6,22,1.368008,-2.748894,55.2653,110.0950
7,5,-2.577163,-1.349827,-115.0000,-35.1111
7,6,-2.488038,-1.431173,-115.0000,-62.1886
7,7,-2.495765,-1.381178,-115.0000,-94.1209
